t,pop,avg_viruses,virus_1_cnt,virus_1_genome
254,115,0.426087,49,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
255,115,0.417391,48,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
256,115,0.426087,49,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
257,115,0.434783,50,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
258,115,0.452174,52,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
259,114,0.447368,51,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
260,114,0.447368,51,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
261,113,0.433628,49,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
262,111,0.423423,47,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
263,110,0.436364,48,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
264,110,0.418182,46,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
265,110,0.418182,46,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
266,110,0.427273,47,"0.378833,0.456932,0.319896,0.046495,0.303572,0.115964,0.315337,0.20294,0.397121,0.373192,"
267,110,0.427273,47,"0.379936,0.458125,0.319553,0.0456151,0.305451,0.116532,0.316268,0.199842,0.393422,0.374101,"
268,110,0.427273,47,"0.379936,0.458125,0.319553,0.0456151,0.305451,0.116532,0.316268,0.199842,0.393422,0.374101,"
269,110,0.436364,48,"0.379936,0.458125,0.319553,0.0456151,0.305451,0.116532,0.316268,0.199842,0.393422,0.374101,"
270,109,0.431193,47,"0.379936,0.458125,0.319553,0.0456151,0.305451,0.116532,0.316268,0.199842,0.393422,0.374101,"
271,109,0.449541,49,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
272,109,0.449541,49,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
273,109,0.449541,49,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
274,109,0.458716,50,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
275,108,0.453704,49,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
276,108,0.462963,50,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
277,108,0.462963,50,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
278,108,0.462963,50,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
279,108,0.481481,52,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
280,107,0.485981,52,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
281,107,0.485981,52,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
282,107,0.46729,50,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
283,106,0.462264,49,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
284,106,0.462264,49,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
285,106,0.471698,50,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
286,105,0.466667,49,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
287,105,0.47619,50,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
288,104,0.471154,49,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
289,104,0.461538,48,"0.361881,0.451158,0.325225,0.0398935,0.309131,0.121183,0.3116,0.199563,0.401309,0.387194,"
290,104,0.471154,49,"0.369201,0.455638,0.32367,0.0493029,0.292249,0.108784,0.324453,0.199815,0.387867,0.394982,"
291,104,0.471154,49,"0.369201,0.455638,0.32367,0.0493029,0.292249,0.108784,0.324453,0.199815,0.387867,0.394982,"
292,104,0.480769,50,"0.369201,0.455638,0.32367,0.0493029,0.292249,0.108784,0.324453,0.199815,0.387867,0.394982,"
293,104,0.480769,50,"0.369201,0.455638,0.32367,0.0493029,0.292249,0.108784,0.324453,0.199815,0.387867,0.394982,"
